user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
F_bin_177620	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__	N/A	N/A	N/A	N/A	N/A	GCA_002361775.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp002361775	90.03	0.666	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000432335.1, s__Oliverpabstia sp000432335, 95.0, 81.54, 0.174	91.62	11	0.99433	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
F_bin_186448	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	GCF_900475675.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	99.3	0.877	GCF_900475675.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	99.3	0.877	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_011387195.1, s__Streptococcus ruminicola, 95.0, 94.26, 0.761; GCF_000154985.1, s__Streptococcus infantarius, 95.0, 94.18, 0.754; GCF_900101445.1, s__Streptococcus equinus_B, 95.0, 93.71, 0.752; GCF_016461705.1, s__Streptococcus vicugnae, 95.0, 89.62, 0.648; GCF_900104225.1, s__Streptococcus equinus_D, 95.0, 89.51, 0.635; GCF_000187265.1, s__Streptococcus equinus, 95.0, 88.6, 0.569; GCF_004843545.1, s__Streptococcus pasteurianus, 95.21, 85.87, 0.354; GCF_934196125.1, s__Streptococcus sp934196125, 95.0, 85.25, 0.312; GCF_002000985.1, s__Streptococcus gallolyticus, 96.3, 85.16, 0.368; GCA_000283635.1, s__Streptococcus macedonicus, 95.18, 85.06, 0.372; GCF_003337175.1, s__Streptococcus gallolyticus_B, 95.0, 83.87, 0.291	79.25	11	N/A	N/A
F_bin_187697	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900553245	GCA_900553245.1	95.0	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900553245	97.69	0.827	GCA_900553245.1	95.0	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900553245	97.69	0.827	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900759105.1, s__UMGS1590 sp900759105, 95.0, 84.25, 0.355	66.81	11	N/A	N/A
F_bin_187888	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei	GCF_001435775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei	97.73	0.861	GCF_001435775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei	97.73	0.861	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.41	11	N/A	N/A
F_bin_188779	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	97.23	0.801	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	97.23	0.801	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258315.1, s__Fusobacterium_B sp029258315, 95.0, 86.43, 0.303; GCF_000622245.1, s__Fusobacterium_B perfoetens, 95.0, 84.69, 0.207; GCF_012843705.1, s__Fusobacterium_B sp012843705, 95.0, 84.29, 0.203	83.57	11	N/A	N/A
F_bin_191085	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900541345	GCA_900541345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900541345	96.69	0.769	GCA_900541345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900541345	96.69	0.769	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 92.88, 0.731; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 90.14, 0.628; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 89.59, 0.634; GCA_030527365.1, s__Blautia_A sp030527365, 95.0, 89.35, 0.677	84.15	11	N/A	Genome has more than 13.3% of markers with multiple hits
F_bin_191654	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__CAMWXW01;g__CAMWXW01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__CAMWXW01;g__CAMWXW01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.68	11	0.90657	N/A
F_bin_191915	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.32	11	0.98459	N/A
F_bin_2067	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus	GCF_008121495.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus	97.44	0.86	GCF_008121495.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus	97.44	0.86	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900544395.1, s__Ruminococcus_B sp900544395, 95.0, 87.59, 0.383	58.89	11	N/A	N/A
F_bin_207931	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_949287565.1, s__Brachyspira sp949287565, 95.0, 86.97, 0.391; GCF_944393015.1, s__Brachyspira sp944393015, 95.0, 86.66, 0.452; GCF_000223215.1, s__Brachyspira intermedia, 95.0, 86.47, 0.473; GCF_001049755.1, s__Brachyspira suanatina, 95.0, 86.34, 0.452; GCF_001676785.2, s__Brachyspira hyodysenteriae, 95.0, 86.11, 0.454; GCF_029258575.1, s__Brachyspira sp029258575, 95.0, 85.98, 0.462; GCA_949300355.1, s__Brachyspira sp949300355, 95.0, 85.9, 0.404; GCF_000316195.1, s__Brachyspira hampsonii_C, 95.0, 85.07, 0.395; GCA_944392715.1, s__Brachyspira sp944392715, 95.0, 84.99, 0.362; GCF_002214805.1, s__Brachyspira hampsonii, 95.0, 84.97, 0.42; GCF_001746205.1, s__Brachyspira hampsonii_B, 95.0, 84.64, 0.396; GCF_910578695.1, s__Brachyspira sp910578695, 95.0, 83.29, 0.335; GCF_944390845.1, s__Brachyspira sp944390845, 95.0, 82.86, 0.26; GCF_000092845.1, s__Brachyspira murdochii, 95.0, 82.6, 0.234; GCF_000518245.1, s__Brachyspira alvinipulli, 95.0, 82.37, 0.216; GCF_000384655.1, s__Brachyspira innocens, 95.0, 82.34, 0.227; GCF_949287625.1, s__Brachyspira sp949287625, 95.0, 82.11, 0.214; GCF_002379365.1, s__Brachyspira sp002379365, 95.0, 82.11, 0.209; GCF_944388875.1, s__Brachyspira sp944388875, 95.0, 81.83, 0.193; GCF_944390595.1, s__Brachyspira sp944390595, 95.0, 81.67, 0.196; GCF_910588665.1, s__Brachyspira sp910588665, 95.0, 80.09, 0.198	82.46	11	0.97849	N/A
F_bin_208724	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__Beduini sp018365815	GCA_018365815.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__Beduini sp018365815	99.4	0.939	GCA_018365815.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__Beduini sp018365815	99.4	0.939	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	79.74	11	N/A	N/A
F_bin_211393	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	GCF_002706375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	97.99	0.863	GCF_002706375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	97.99	0.863	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 92.3, 0.743; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 87.68, 0.509; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 86.68, 0.342; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 85.93, 0.177; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 85.1, 0.35; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 84.05, 0.247; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 83.97, 0.246; GCF_018987235.1, s__Lactobacillus crispatus, 95.0, 83.91, 0.216; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 83.68, 0.27; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.45, 0.213	67.45	11	N/A	N/A
F_bin_212208	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.71	0.821	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.71	0.821	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.93	11	N/A	N/A
F_bin_212578	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	N/A	N/A	N/A	N/A	N/A	GCF_001403635.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina massiliamazoniense	91.36	0.66	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	71.78	11	0.99084	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
F_bin_212632	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__JAHHTG01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__JAHHTG01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.15	11	0.91585	N/A
F_bin_213245	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B	GCF_009494135.1	96.82	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B	98.42	0.817	GCF_009494135.1	96.82	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B	98.42	0.817	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025151535.1, s__Prevotella copri, 96.58, 96.52, 0.683; GCA_003465495.1, s__Prevotella copri_G, 96.82, 96.37, 0.754; GCF_009494835.1, s__Prevotella copri_F, 96.41, 96.37, 0.687; GCA_026015625.1, s__Prevotella copri_H, 96.58, 96.2, 0.729; GCA_015074785.1, s__Prevotella sp015074785, 96.07, 96.2, 0.726; GCF_026015465.1, s__Prevotella copri_E, 96.47, 96.2, 0.714; GCA_026015295.1, s__Prevotella copri_C, 95.51, 96.16, 0.701; GCA_003463005.1, s__Prevotella copri_I, 96.73, 96.1, 0.72; GCA_949820605.1, s__Prevotella sp934191715, 96.61, 95.77, 0.729; GCA_021622245.1, s__Prevotella copri_J, 95.95, 95.47, 0.694; GCA_900557255.1, s__Prevotella sp900557255, 95.0, 95.13, 0.47; GCA_934202525.1, s__Prevotella sp934202525, 95.0, 94.74, 0.659; GCF_019127135.1, s__Prevotella sp900551275, 95.0, 94.52, 0.691; GCA_958369755.1, s__Prevotella sp958369755, 95.0, 92.98, 0.572; GCF_009494395.1, s__Prevotella sp900546535, 95.0, 87.73, 0.342; GCF_019249655.1, s__Prevotella sp900767615, 95.85, 87.18, 0.317; GCA_002224675.1, s__Prevotella copri_A, 95.0, 86.92, 0.315; GCA_022732315.1, s__Prevotella sp022732315, 95.0, 86.9, 0.252; GCA_021636625.1, s__Prevotella sp021636625, 95.0, 86.81, 0.277; GCA_900544825.1, s__Prevotella sp900544825, 95.0, 86.68, 0.321; GCF_026095235.1, s__Prevotella sp900557035, 95.0, 86.64, 0.334; GCA_900556795.1, s__Prevotella sp900556795, 95.0, 86.64, 0.276; GCF_900551985.1, s__Prevotella sp900551985, 95.0, 86.58, 0.269; GCA_934196725.1, s__Prevotella sp934196725, 95.0, 85.98, 0.285; GCA_900770515.1, s__Prevotella sp900770515, 95.0, 85.84, 0.224; GCA_900555035.1, s__Prevotella sp900555035, 95.0, 85.33, 0.26; GCA_900554835.1, s__Prevotella sp900554835, 95.0, 85.31, 0.176; GCA_022741625.1, s__Prevotella sp022741625, 95.0, 85.21, 0.184; GCA_021531135.1, s__Prevotella sp945863825, 95.0, 85.07, 0.194; GCF_004535825.1, s__Prevotella hominis, 95.0, 84.97, 0.166; GCA_900765465.1, s__Prevotella sp900765465, 95.0, 84.89, 0.223; GCA_900548535.1, s__Prevotella sp900548535, 95.0, 82.36, 0.191	97.86	11	N/A	N/A
F_bin_214435	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp937890845	GCA_937890845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp937890845	98.42	0.833	GCA_937890845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp937890845	98.42	0.833	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546395.1, s__Cryptobacteroides sp900546395, 95.0, 91.71, 0.704	88.16	11	N/A	N/A
F_bin_215398	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900555025	GCA_905201915.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900555025	98.61	0.834	GCA_905201915.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900555025	98.61	0.834	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900547685.1, s__Blautia sp900547685, 95.0, 92.76, 0.723; GCF_002222595.2, s__Blautia hansenii, 95.0, 91.47, 0.708; GCA_900539145.1, s__Blautia sp900539145, 95.0, 90.11, 0.698; GCF_900120295.1, s__Blautia sp900120295, 95.0, 89.09, 0.641; GCA_029257775.1, s__Blautia sp029257775, 95.0, 85.16, 0.471	76.41	11	N/A	N/A
F_bin_21719	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__HGM12587;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__HGM12587;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	72.31	11	0.95983	N/A
F_bin_219469	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	GCF_025151215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	99.55	0.945	GCF_025151215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	99.55	0.945	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019411205.1, s__Parabacteroides sp019411205, 95.0, 91.13, 0.677; GCF_025151045.1, s__Parabacteroides johnsonii, 95.0, 90.59, 0.647; GCF_014287585.1, s__Parabacteroides hominis, 95.0, 89.84, 0.608; GCF_902493135.1, s__Parabacteroides sp902493135, 95.0, 89.61, 0.589; GCF_900155425.1, s__Parabacteroides massiliensis, 95.0, 88.52, 0.515; GCA_900760525.1, s__Parabacteroides sp900760525, 95.0, 88.05, 0.464; GCA_910577325.1, s__Parabacteroides sp910577325, 95.0, 87.54, 0.41; GCA_017937385.1, s__Parabacteroides sp017937385, 95.0, 84.45, 0.258; GCF_003363715.1, s__Parabacteroides acidifaciens, 95.0, 83.21, 0.196; GCF_900552465.1, s__Parabacteroides sp900552465, 95.0, 82.52, 0.182	81.61	11	N/A	N/A
F_bin_220008	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.09	11	0.94966	N/A
F_bin_224122	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp905186105	GCA_905186105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp905186105	98.43	0.919	GCA_905186105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp905186105	98.43	0.919	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937943605.1, s__Sutterella sp937943605, 95.0, 85.46, 0.442; GCA_020025915.1, s__Sutterella sp020025915, 95.0, 84.6, 0.387	87.53	11	N/A	N/A
F_bin_224835	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus saerimneri	GCF_000423265.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus saerimneri	98.21	0.892	GCF_000423265.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus saerimneri	98.21	0.892	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.61	11	N/A	N/A
F_bin_226516	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia sp937915375	GCA_937915375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia sp937915375	97.8	0.863	GCA_937915375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia sp937915375	97.8	0.863	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.84	11	N/A	N/A
F_bin_2267	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp902490335	GCA_902490335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp902490335	97.51	0.916	GCA_902490335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp902490335	97.51	0.916	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000435195.1, s__Negativibacillus sp000435195, 95.0, 94.71, 0.842	79.13	11	N/A	N/A
F_bin_232232	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__Frisingicoccus sp900757195	GCA_900757195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__Frisingicoccus sp900757195	99.05	0.939	GCA_900757195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__Frisingicoccus sp900757195	99.05	0.939	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.68	11	N/A	N/A
F_bin_233803	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Gallibacter;s__Gallibacter sp937900695	GCA_937900695.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Gallibacter;s__Gallibacter sp937900695	97.57	0.81	GCA_937900695.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Gallibacter;s__Gallibacter sp937900695	97.57	0.81	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Gallibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	75.11	11	N/A	N/A
F_bin_233818	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Avilachnospira;s__	N/A	N/A	N/A	N/A	N/A	GCA_030525875.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Avilachnospira;s__Avilachnospira sp030525875	85.22	0.465	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Avilachnospira;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	88.94	11	0.98793	N/A
