ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	GTDB_taxonomy	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	altitude	altitute	anonymized name	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	broker name	checkm_completeness	checkm_contamination	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	contigs	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	environmental-sample	environmental_sample	ethnicity	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_body_habitat	host_body_product	host_health_state	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolation_source_y	lab_host	lat_lon	length	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	note	num_replicons	passage_history	project_name	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	source_material_id	specimen_voucher	strain	subsrc_note	substrate	supplier_name	taxonomic classification	taxonomic identity marker	temp	value
GCA_959029145.1	GB_GCA_959029145.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	96.33	1.03	4685609	46.8558729505599	69751	115	SAMEA114096638	human feces metagenome	none	f	t	f	GCA_959029145.1	SAMEA114096638			ERC000047	2023-07-18T16:27:40Z	2023-07-18T16:27:40Z	SAMEA114096638		EMG	EMG	2023-07-18T16:27:40Z	2023-07-18T16:27:40Z	public	SRR13494517_bin.54_MetaWRAP_v1.3_MAG				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaspades v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	MetaWRAP v1.3		EMG broker account, EMBL-EBI				2018-01-17		96.12	CheckM		0.37						Human digestive system		faeces							USA	42.2	-71.06									metagenome-assembled genome			human feces metagenome				colon							human feces metagenome				Fecal microbiota transplantation (FMT) is an effective therapy for recurrent Clostridioides difficile infection (CDI). However, the overall mechanisms of FMT have not been comprehensively elucidated, and the safety of FMT has recently become a serious concern because of the occurrence of drug-resistant bacteremia transmitted by FMT. We investigated whether the functional restoration of the bacteriomes and viromes by FMT could be an indicator of successful FMT.						SAMN17393296	SRR13494517_bin.54_MetaWRAP_v1.3_MAG		Bacteroides uniformis		Illumina HiSeq 2500									The taxonomy of this Metagenome-Assembled Genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	multi-marker approach		
GCA_959598615.1	GB_GCA_959598615.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.1	1.91	4122496	46.54393842953395	98216	61	SAMEA114095587	human feces metagenome	none	f	t	f	GCA_959598615.1	SAMEA114095587			ERC000047	2023-07-20T12:20:57Z	2023-07-20T12:20:57Z	SAMEA114095587		EMG	EMG	2023-07-20T12:20:57Z	2023-07-20T12:20:57Z	public	SRR16244384_bin.22_MetaWRAP_v1.3_MAG				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaspades v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	MetaWRAP v1.3		EMG broker account, EMBL-EBI				2020-11-19		97.15	CheckM		0.87						Human digestive system		faeces							Malaysia	5.6436	100.4894									metagenome-assembled genome			human feces metagenome				colon							human feces metagenome				Study was done to investigate the association between the gut microbiome of healthy individuals compared to individuals who are diagnosed with schizophrenia in the Malaysian population.						SAMN22137993	SRR16244384_bin.22_MetaWRAP_v1.3_MAG		Bacteroides uniformis		Illumina HiSeq 2500									The taxonomy of this Metagenome-Assembled Genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	multi-marker approach		
GCA_959605225.1	GB_GCA_959605225.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.92	0.6	4333988	46.437576661495136	119353	57	SAMEA114122113	human feces metagenome	none	f	t	f	GCA_959605225.1	SAMEA114122113			ERC000047	2023-07-20T12:20:56Z	2023-07-20T12:20:56Z	SAMEA114122113		EMG	EMG	2023-07-20T12:20:56Z	2023-07-20T12:20:56Z	public	SRR16279960_bin.11_MetaWRAP_v1.3_MAG				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaspades v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	MetaWRAP v1.3		EMG broker account, EMBL-EBI				2019-05-01/2020-10-30		99.26	CheckM		0.0						Human digestive system		faeces							China	36.46	115.99									metagenome-assembled genome			human feces metagenome				colon							human feces metagenome				Parkinson's disease has been improved to association with gastrointestinal symptoms and gut microbiota disorders, probiotics is considered as a technique for GI symptoms, while the regulative effect of probiotics on Parkinson's disease is limited. The supplementary treatment of Probio-M8 on Parkinson has been investigation.						SAMN22185091	SRR16279960_bin.11_MetaWRAP_v1.3_MAG		Bacteroides uniformis		Illumina HiSeq 2500									The taxonomy of this Metagenome-Assembled Genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	multi-marker approach		
GCF_000403175.1	RS_GCF_000403175.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.9	0.52	4835507	46.48721849806721	596918	17	SAMN01730985	feces	USA: St. Louis; MO	t	f	f	GCA_000403175.2	SAMN01730985																												Unknown																				USA: St. Louis, MO			Mouse											feces																															dnLKV2							
GCF_001405475.1	RS_GCF_001405475.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.47	4893267	46.15952127894771	178382	55	SAMEA2393087	feces	United Kingdom	t	f	f	GCA_001405475.1	SAMEA2393087			ERC000011	2015-09-21T14:21:02Z	2018-03-09T10:44:57Z	SAMEA2393087			SC	2015-09-21T14:21:02Z	2018-03-09T10:44:57Z	public	H1_6-sc-1712241			1712241												2013																				United Kingdom			Homo sapiens				healthy							feces																						H1_6-sc-1712241		Bacteroides uniformis							2789STDY5608791			H1_6				
GCF_001405595.1	RS_GCF_001405595.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.3	4943194	46.26815103018019	163369	86	SAMEA3545361	feces	United Kingdom	t	f	f	GCA_001405595.1	SAMEA3545361			ERC000011	2015-09-21T14:21:00Z	2018-03-09T13:31:23Z	SAMEA3545361			SC	2015-09-21T14:21:00Z	2018-03-09T13:31:23Z	public	H5_2_Bacteroides-sc-1962968			1962968												2013																				United Kingdom			Homo sapiens				healthy							feces																						H5_2_Bacteroides-sc-1962968		Bacteroides uniformis							2789STDY5834898			H5_2_Bacteroides				
GCF_001406095.1	RS_GCF_001406095.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.71	4735295	46.452089173246	225708	56	SAMEA3545272	feces	United Kingdom	t	f	f	GCA_001406095.1	SAMEA3545272			ERC000011	2015-09-21T14:20:57Z	2018-03-09T13:32:07Z	SAMEA3545272			SC	2015-09-21T14:20:57Z	2018-03-09T13:32:07Z	public	H3_9_Bacteroides-sc-1712314			1712314												2013																				United Kingdom			Homo sapiens				healthy							feces																						H3_9_Bacteroides-sc-1712314		Bacteroides uniformis							2789STDY5608864			H3_9_Bacteroides				
GCF_001406135.1	RS_GCF_001406135.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.26	4883234	46.54113573974679	368271	30	SAMEA3545313	feces	United Kingdom	t	f	f	GCA_001406135.1	SAMEA3545313			ERC000011	2015-09-21T14:21:01Z	2018-03-09T13:31:23Z	SAMEA3545313			SC	2015-09-21T14:21:01Z	2018-03-09T13:31:23Z	public	H4_7_Bacteroides-sc-1962917			1962917												2013																				United Kingdom			Homo sapiens				healthy							feces																						H4_7_Bacteroides-sc-1962917		Bacteroides uniformis							2789STDY5834847			H4_7_Bacteroides				
GCF_001406635.1	RS_GCF_001406635.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.31	4573204	46.440146096924266	102409	100	SAMEA3545310	feces	United Kingdom	t	f	f	GCA_001406635.1	SAMEA3545310			ERC000011	2015-09-21T14:20:56Z	2018-03-09T13:31:23Z	SAMEA3545310			SC	2015-09-21T14:20:56Z	2018-03-09T13:31:23Z	public	H4_4_Bacteroides-sc-1962914			1962914												2013																				United Kingdom			Homo sapiens				healthy							feces																						H4_4_Bacteroides-sc-1962914		Bacteroides uniformis							2789STDY5834844			H4_4_Bacteroides				
GCF_001406715.1	RS_GCF_001406715.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.88	1.05	4784733	46.52366800477796	292996	30	SAMEA3545405	feces	United Kingdom	t	f	f	GCA_001406715.1	SAMEA3545405			ERC000011	2015-09-21T14:20:58Z	2018-03-09T13:31:25Z	SAMEA3545405			SC	2015-09-21T14:20:58Z	2018-03-09T13:31:25Z	public	H6_1_Bacteroides-sc-1963012			1963012												2013																				United Kingdom			Homo sapiens				healthy							feces																						H6_1_Bacteroides-sc-1963012		Bacteroides uniformis							2789STDY5834942			H6_1_Bacteroides				
GCF_003436475.1	RS_GCF_003436475.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.27	4626421	46.23922199252871	292725	93	SAMN09736974	feces	China: Shenzhen	t	f	f	GCA_003436475.1	SAMN09736974																												2013-07-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								TM04-30							
GCF_003437005.1	RS_GCF_003437005.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.97	0.09	4644724	46.4303423217195	118581	84	SAMN09736914	feces	China: Shenzhen	t	f	f	GCA_003437005.1	SAMN09736914																												2014-02-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								TF08-13							
GCF_003437205.1	RS_GCF_003437205.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.21	4748699	46.54895706694571	215163	72	SAMN09736902	feces	China: Shenzhen	t	f	f	GCA_003437205.1	SAMN09736902																												2013-08-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								TF07-2							
GCF_003437605.1	RS_GCF_003437605.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.41	4832690	46.55079295445892	232328	55	SAMN09736925	feces	China: Shenzhen	t	f	f	GCA_003437605.1	SAMN09736925																												2014-02-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								TF09-22							
GCF_003438205.1	RS_GCF_003438205.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.35	4735098	46.37052602678972	223459	50	SAMN09736841	feces	China: Shenzhen	t	f	f	GCA_003438205.1	SAMN09736841																												2014-02-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								OM07-9							
GCF_003438985.1	RS_GCF_003438985.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.44	4715503	46.283874213580354	191671	65	SAMN09736796	feces	China: Shenzhen	t	f	f	GCA_003438985.1	SAMN09736796																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								OM05-11BH							
GCF_003439225.1	RS_GCF_003439225.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	1.58	4993856	46.13882275620981	217048	72	SAMN09736771	feces	China: Shenzhen	t	f	f	GCA_003439225.1	SAMN09736771																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								OM03-4							
GCF_003439685.1	RS_GCF_003439685.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.39	4633591	46.50270987970862	261601	48	SAMN09736782	feces	China: Shenzhen	t	f	f	GCA_003439685.1	SAMN09736782																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								OM04-14BH							
GCF_003457925.1	RS_GCF_003457925.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.7	4602560	46.220503938602434	319362	68	SAMN09734539	feces	China: Shenzhen	t	f	f	GCA_003457925.1	SAMN09734539																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF28-11							
GCF_003459325.1	RS_GCF_003459325.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.69	4856052	46.0575349496459	179218	104	SAMN09734434	feces	China: Shenzhen	t	f	f	GCA_003459325.1	SAMN09734434																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF21-53							
GCF_003459585.1	RS_GCF_003459585.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.47	4616357	46.49969606654214	156245	83	SAMN09734398	feces	China: Shenzhen	t	f	f	GCA_003459585.1	SAMN09734398																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF19-3LB							
GCF_003459625.1	RS_GCF_003459625.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.43	4854399	46.231693251061074	213287	64	SAMN09734391	feces	China: Shenzhen	t	f	f	GCA_003459625.1	SAMN09734391																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF19-23							
GCF_003460085.1	RS_GCF_003460085.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.21	4957414	46.51477526945274	148719	77	SAMN09734330	feces	China: Shenzhen	t	f	f	GCA_003460085.1	SAMN09734330																												2013-11-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF17-20							
GCF_003463315.1	RS_GCF_003463315.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.1	4481452	46.6532422364351	223074	60	SAMN09736707	feces	China: Shenzhen	t	f	f	GCA_003463315.1	SAMN09736707																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								OF04-14							
GCF_003464525.1	RS_GCF_003464525.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.96	1.16	5592715	45.84992196251053	108800	173	SAMN09734261	feces	China: Shenzhen	t	f	f	GCA_003464525.1	SAMN09734261																												2013-10-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF14-42							
GCF_003464785.1	RS_GCF_003464785.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.96	1.22	5539408	45.88776343640299	121336	128	SAMN09734246	feces	China: Shenzhen	t	f	f	GCA_003464785.1	SAMN09734246																												2013-10-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF14-14							
GCF_003466245.1	RS_GCF_003466245.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.4	4604809	46.29282108756657	146132	85	SAMN09737024	feces	China: Shenzhen	t	f	f	GCA_003466245.1	SAMN09737024																												2014-02-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								TM10-17							
GCF_003466885.1	RS_GCF_003466885.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.07	4659866	46.1777301352768	179787	75	SAMN09736574	feces	China: Shenzhen	t	f	f	GCA_003466885.1	SAMN09736574																												2014-01-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM43-9							
GCF_003467505.1	RS_GCF_003467505.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.35	4480961	46.52408016350864	278367	42	SAMN09736507	feces	China: Shenzhen	t	f	f	GCA_003467505.1	SAMN09736507																												2014-01-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM39-1							
GCF_003468325.1	RS_GCF_003468325.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.22	4425574	46.05414556501509	141682	76	SAMN09736495	feces	China: Shenzhen	t	f	f	GCA_003468325.1	SAMN09736495																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM37-7							
GCF_003468755.1	RS_GCF_003468755.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.9	4668978	46.563546760468114	198617	61	SAMN09736429	feces	China: Shenzhen	t	f	f	GCA_003468755.1	SAMN09736429																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM31-23							
GCF_003468865.1	RS_GCF_003468865.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	1.53	4921765	46.14678125454012	221211	57	SAMN09736420	feces	China: Shenzhen	t	f	f	GCA_003468865.1	SAMN09736420																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM30-49							
GCF_003469025.1	RS_GCF_003469025.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.88	4874190	46.57947108184075	227321	60	SAMN09736397	feces	China: Shenzhen	t	f	f	GCA_003469025.1	SAMN09736397																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM29-1AC							
GCF_003469415.1	RS_GCF_003469415.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.48	4617488	46.50063196449564	185323	74	SAMN09736405	feces	China: Shenzhen	t	f	f	GCA_003469415.1	SAMN09736405																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM29-4LB							
GCF_003469435.1	RS_GCF_003469435.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.47	4615473	46.50328157591912	162146	78	SAMN09736404	feces	China: Shenzhen	t	f	f	GCA_003469435.1	SAMN09736404																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM29-2AC							
GCF_003469465.1	RS_GCF_003469465.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.89	4858376	46.58710862498806	227321	64	SAMN09736392	feces	China: Shenzhen	t	f	f	GCA_003469465.1	SAMN09736392																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM29-12AC							
GCF_003469475.1	RS_GCF_003469475.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.11	4597964	46.384867676135066	136745	145	SAMN09736383	feces	China: Shenzhen	t	f	f	GCA_003469475.1	SAMN09736383																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM28-49							
GCF_003470495.1	RS_GCF_003470495.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.11	4413983	46.6115200298699	250794	58	SAMN09734894	feces	China: Shenzhen	t	f	f	GCA_003470495.1	SAMN09734894																												2013-11-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM21-40							
GCF_003470725.1	RS_GCF_003470725.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.52	4520684	46.21244951588117	142114	79	SAMN09734832	feces	China: Shenzhen	t	f	f	GCA_003470725.1	SAMN09734832																												2013-08-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM16-3							
GCF_003471545.1	RS_GCF_003471545.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	1.36	4882287	46.32801404310647	266298	108	SAMN09734863	feces	China: Shenzhen	t	f	f	GCA_003471545.1	SAMN09734863																												2013-09-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM18-14LB							
GCF_003472995.1	RS_GCF_003472995.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	1.72	4542282	46.58073640732229	274865	52	SAMN09734803	feces	China: Shenzhen	t	f	f	GCA_003472995.1	SAMN09734803																												2013-08-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM14-1							
GCF_003473285.1	RS_GCF_003473285.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.16	4339158	46.39511241996424	182534	63	SAMN09734751	feces	China: Shenzhen	t	f	f	GCA_003473285.1	SAMN09734751																												2012-11-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM09-11							
GCF_003475375.1	RS_GCF_003475375.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.14	4425688	46.43034844419619	220580	58	SAMN09734589	feces	China: Shenzhen	t	f	f	GCA_003475375.1	SAMN09734589																												2014-01-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF32-17							
GCF_009019055.1	RS_GCF_009019055.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.37	4873057	46.2216855740742	197754	112	SAMN11944123	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009019055.1	SAMN11944123																												2016-02-19											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A92							
GCF_009019075.1	RS_GCF_009019075.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.33	4762191	46.14165880438597	197729	79	SAMN11944121	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009019075.1	SAMN11944121																												2016-02-19											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A90							
GCF_009019085.1	RS_GCF_009019085.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.33	4790384	46.18794651952745	166939	77	SAMN11944120	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009019085.1	SAMN11944120																												2016-02-19											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A89							
GCF_009019105.1	RS_GCF_009019105.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.82	4927220	46.12776797842668	160549	149	SAMN11944122	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009019105.1	SAMN11944122																												2016-02-19											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A91							
GCF_009019135.1	RS_GCF_009019135.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.49	4909844	46.24184850241373	206557	79	SAMN11944119	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009019135.1	SAMN11944119																												2016-02-19											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A88							
GCF_009019145.1	RS_GCF_009019145.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	100.0	0.48	4890407	46.20939292541066	206273	76	SAMN11944118	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009019145.1	SAMN11944118																												2016-02-19											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A87							
